feature,importance
lacunarity_slope,0.14183454011356114
orientation_anisotropy,0.12391081773368622
orientation_dispersion,0.12286190843175604
n_flecks,0.11848561094990664
glcm_energy,0.09907288326474796
mean_fleck_area,0.06325850013752216
glcm_contrast,0.057338659487487446
glcm_correlation,0.0511330529500624
glcm_homogeneity,0.04798918729414992
median_fleck_area,0.03722882249336066
fleck_solidity,0.03636374039843448
meat_pct,0.03385833667913925
area_pct,0.03356975170593276
lacunarity_mean,0.0330941883602529
